time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain,Snow
2020-11-10 00:00,7.7638,0,318,1.2009,3.1362,0.0112,0
2020-11-10 01:00,6.3859,0,318,1.1126,3.1342,0.0112,0
2020-11-10 02:00,5.1119,0,318,1.027,3.1967,0.0112,0
2020-11-10 03:00,4.0067,0,318,0.9471,3.2831,0.0112,0
2020-11-10 04:00,3.1349,0,318,0.8767,3.3527,0.0112,0
2020-11-10 05:00,2.5611,0,318,0.8196,3.3651,0.0112,0
2020-11-10 06:00,2.35,0,297,0.78,3.2796,0.0016,0
2020-11-10 07:00,2.5296,42.2398,297,0.76,3.0758,0.0016,0
2020-11-10 08:00,2.9812,124.6833,297,0.7564,2.8141,0.0016,0
2020-11-10 09:00,3.549,189.6278,297,0.7641,2.5747,0.0016,0
2020-11-10 10:00,4.0778,232.6456,297,0.7781,2.4383,0.0016,0
2020-11-10 11:00,4.4118,250.8036,297,0.7937,2.4853,0.0016,0
2020-11-10 12:00,4.3957,124.0702,310.5948,0.8068,2.7961,0.0588,0
2020-11-10 13:00,3.9306,106.9559,310.5948,0.8142,3.4154,0.0588,0
2020-11-10 14:00,3.1446,77.949,310.5948,0.8185,4.2452,0.0588,0
2020-11-10 15:00,2.2227,39.0248,310.5948,0.8232,5.1515,0.0588,0
2020-11-10 16:00,1.3497,0,310.5948,0.8322,6.0006,0.0588,0
2020-11-10 17:00,0.7104,0,310.5948,0.8496,6.6585,0.0588,0
2020-11-10 18:00,0.4897,0,323.5399,0.8792,6.9914,0.024,0
2020-11-10 19:00,0.8052,0,323.5399,0.9221,6.91,0.024,0
2020-11-10 20:00,1.505,0,323.5399,0.9709,6.5028,0.024,0
2020-11-10 21:00,2.37,0,323.5399,1.0166,5.9027,0.024,0
2020-11-10 22:00,3.181,0,323.5399,1.0515,5.2427,0.024,0
2020-11-10 23:00,3.7188,0,323.5399,1.0689,4.6559,0.024,0
2020-11-11 00:00,3.7643,0,294,1.0626,4.2751,0.004,0
2020-11-11 01:00,3.1709,0,294,1.0276,4.1957,0.004,0
2020-11-11 02:00,2.0818,0,294,0.9684,4.3614,0.004,0
2020-11-11 03:00,0.713,0,294,0.8919,4.6783,0.004,0
2020-11-11 04:00,-0.7196,0,294,0.8064,5.0525,0.004,0
2020-11-11 05:00,-2.0003,0,294,0.7227,5.3901,0.004,0
2020-11-11 06:00,-2.9131,0,277,0.6539,5.597,4e-4,0
2020-11-11 07:00,-3.3011,37.6802,277,0.6116,5.6048,4e-4,0
2020-11-11 08:00,-3.2435,115.2219,277,0.5939,5.4462,4e-4,0
2020-11-11 09:00,-2.8785,176.3241,277,0.5946,5.1795,4e-4,0
2020-11-11 10:00,-2.3443,216.8213,277,0.6064,4.8628,4e-4,0
2020-11-11 11:00,-1.779,233.9524,277,0.6225,4.5543,4e-4,0
2020-11-11 12:00,-1.3208,405.445,216.5399,0.6361,4.3123,0,0
2020-11-11 13:00,-1.076,349.1849,216.5399,0.6422,4.1795,0,0
2020-11-11 14:00,-1.0239,253.7452,216.5399,0.642,4.1371,0,0
2020-11-11 15:00,-1.1118,125.6248,216.5399,0.6378,4.151,0,0
2020-11-11 16:00,-1.2872,0,216.5399,0.632,4.187,0,0
2020-11-11 17:00,-1.4975,0,216.5399,0.627,4.2109,0,0
2020-11-11 18:00,-1.69,0,218,0.6252,4.1886,0,0
2020-11-11 19:00,-1.8239,0,218,0.6284,4.0957,0,0
2020-11-11 20:00,-1.9053,0,218,0.636,3.9477,0,0
2020-11-11 21:00,-1.9521,0,218,0.647,3.7697,0,0
2020-11-11 22:00,-1.9821,0,218,0.6599,3.587,0,0
2020-11-11 23:00,-2.0131,0,218,0.6738,3.4249,0,0
2020-11-12 00:00,-2.063,0,227,0.6873,3.3084,0,0
2020-11-12 01:00,-2.1389,0,227,0.6994,3.2554,0,0
2020-11-12 02:00,-2.2049,0,227,0.71,3.2541,0,0
2020-11-12 03:00,-2.2147,0,227,0.7189,3.2851,0,0
2020-11-12 04:00,-2.1216,0,227,0.726,3.329,0,0
2020-11-12 05:00,-1.8791,0,227,0.7312,3.3666,0,0
2020-11-12 06:00,-1.4407,0,259,0.7344,3.3785,0,0
2020-11-12 07:00,-0.784,41.6641,259,0.7357,3.3502,0,0
2020-11-12 08:00,0.0173,132.2926,259,0.7362,3.2866,0,0
2020-11-12 09:00,0.8651,203.7316,259,0.73740000000000006,3.1976,0,0
2020-11-12 10:00,1.6616,251.111,259,0.7404,3.093,0,0
2020-11-12 11:00,2.3089,271.2007,259,0.7468,2.9824,0,0
2020-11-12 12:00,2.7089,202.208,305,0.7578,2.8757,0.0112,0
2020-11-12 13:00,2.7881,173.9906,305,0.774,2.7821,0.0112,0
2020-11-12 14:00,2.5695,126.0756,305,0.7928,2.7083,0.0112,0
2020-11-12 15:00,2.1005,61.7258,305,0.8104,2.6602,0.0112,0
2020-11-12 16:00,1.4286,0,305,0.8228,2.6441,0.0112,0
2020-11-12 17:00,0.601,0,305,0.8261,2.6659,0.0112,0
2020-11-12 18:00,-0.3348,0,238,0.8155,2.7317,4e-4,0
2020-11-12 19:00,-1.3338,0,238,0.7879,2.8443,4e-4,0
2020-11-12 20:00,-2.3598,0,238,0.7461,2.993,4e-4,0
2020-11-12 21:00,-3.3789,0,238,0.6951,3.1638,4e-4,0
2020-11-12 22:00,-4.3572,0,238,0.6403,3.3427,4e-4,0
2020-11-12 23:00,-5.2607,0,238,0.5876,3.5158,4e-4,0
2020-11-13 00:00,-6.0558,0,200,0.5434,3.669,0,0
